Command,Description
init,Initialize a new Git repository
status,Show the working directory status
add,Add file contents to the index
commit,Record changes to the repository
branch,"List, create, or delete branches"
checkout,Switch branches or restore working directory files
rebase,Reapply commits on top of another base tip
log,Show commit logs
diff,"Show changes between commits, commit and working tree, etc."
show,Show various types of objects
remote,Manage set of tracked repositories
fetch,Download objects and refs from another repository
reset,Reset current HEAD to the specified state
stash,Stash the changes in a dirty working directory away
tag,"Create, list, delete or verify a tag object signed with GPG"
cherry-pick,Apply the changes introduced by some existing commits
revert,Revert some existing commits
